Ranking,Country,Price Index
1,Bermuda,293
2,Cayman Islands,254
3,Switzerland,234
4,Hong Kong,233
5,Iceland,221
6,Norway,220
7,Ireland,202
8,Singapore,200
9,Qatar,198
10,Denmark,191
11,United Arab Emirates,185
12,United Kingdom,183
13,Australia,183
14,New Zealand,180
15,United States,179
16,Netherlands,175
17,France,174
18,Israel,171
19,Luxembourg,169
20,Japan,169
21,Sweden,168
22,Finland,165
23,Canada,158
24,Kuwait,155
25,Trinidad and Tobago,151
26,Germany,150
27,Puerto Rico,147
28,Austria,146
29,Lebanon,145
30,South Korea,144
31,Jordan,143
32,Palestinian Territory,143
33,Belgium,142
34,Italy,138
35,Zimbabwe,138
36,Oman,134
37,Mauritius,133
38,Malta,131
39,Spain,131
40,Uruguay,130
41,Panama,129
42,Bahrain,128
43,Taiwan,124
44,Ghana,122
45,Portugal,121
46,Costa Rica,120
47,Greece,117
48,Cyprus,117
49,Saudi Arabia,117
50,Ethiopia,116
51,Slovenia,115
52,Tanzania,114
53,Thailand,114
54,Chile,109
55,Estonia,108
56,Ecuador,106
57,El Salvador,106
58,Brazil,105
59,Latvia,105
60,Croatia,105
61,South Africa,104
62,Namibia,103
63,China,102
64,Kenya,102
65,Czech Republic,100
66,Lithuania,98
67,Slovakia,98
68,Dominican Republic,97
69,Honduras,97
70,Botswana,96
71,Paraguay,95
72,Moldova,95
73,Guatemala,93
74,Bangladesh,93
75,Hungary,93
76,Poland,92
77,Peru,90
78,Iraq,88
79,Malaysia,87
80,Indonesia,86
81,Belarus,85
82,Serbia,84
83,Algeria,84
84,Nigeria,83
85,Russia,83
86,Philippines,83
87,Bolivia,83
88,Macedonia,82
89,Colombia,81
90,Bulgaria,81
91,Albania,81
92,Nicaragua,81
93,Morocco,81
94,Mexico,81
95,Sri Lanka,80
96,Romania,79
97,Vietnam,78
98,Nepal,76
99,Bosnia and Herzegovina,76
100,India,76
101,Egypt,74
102,Turkey,73
103,Azerbaijan,71
104,Armenia,71
105,Argentina,71
106,Georgia,70
107,Tunisia,70
108,Kazakhstan,69
109,Ukraine,64
